time,size
0.004923105239868164,52
0.009172916412353516,104
0.018353939056396484,94
0.0344090461730957,187
0.059641122817993164,280
0.07641196250915527,373
0.09742903709411621,466
0.11394596099853516,559
0.12309908866882324,652
0.15256905555725098,745
0.16188502311706543,838
0.17969512939453125,931
0.020936012268066406,156
0.034667015075683594,173
0.0658121109008789,344
0.10983991622924805,516
0.1409900188446045,687
0.17764687538146973,859
0.20417189598083496,1030
0.24279189109802246,1202
0.28411102294921875,1373
0.30889391899108887,1544
0.34262990951538086,1716
0.025018930435180664,209
0.022884845733642578,261
0.03119802474975586,313
0.03423190116882324,365
0.037528038024902344,417
0.045371055603027344,469
0.05153799057006836,521
